asof,garp_sleeve
2026-07-31,CHENNPETRO@1260.60;JSWDULUX@2938.80;IOC@140.17;V2RETAIL@219.33;HINDPETRO@389.75;DBL@429.20;MRPL@169.94;JAYNECOIND@86.03;HBLENGINE@718.70;SHARDACROP@819.75;APOLLOTYRE@428.15;BPCL@319.75;SENCO@403.20;SUZLON@48.01;MUTHOOTFIN@3119.60;GENUSPOWER@312.70;NAUKRI@1226.25;SCI@291.45;JKTYRE@399.75;HUDCO@195.10;AHLUCONT@821.40;RCF@127.40;GSFC@158.84;IOB@33.90;CEATLTD@3429.90;GNFC@510.30;PNGJL@670.30;LUPIN@2415.00;FEDFINA@153.83;SARDAEN@516.60;KRBL@351.10;PARADEEP@147.33;IDBI@83.75;GRINFRA@884.10;HINDALCO@974.45;CANFINHOME@820.60;FORCEMOT@17902.00;IRFC@89.15;MAHABANK@79.33;EPL@222.42
2026-08-31,CHENNPETRO@1367.40;JSWDULUX@3164.50;IOC@139.13;V2RETAIL@222.68;HINDPETRO@365.75;DBL@404.95;MRPL@170.37;HBLENGINE@657.35;JAYNECOIND@98.41;SHARDACROP@766.90;SENCO@348.60;APOLLOTYRE@438.95;BPCL@324.05;SUZLON@47.52;MUTHOOTFIN@2978.10;SCI@289.60;GENUSPOWER@335.20;NAUKRI@1313.00;HCC@23.83;JKTYRE@378.85;HUDCO@182.05;RCF@113.52;GSFC@158.15;IOB@32.47;PNGJL@583.90;CEATLTD@3419.70;LUPIN@2188.40;GNFC@574.75;FEDFINA@157.24;SARDAEN@498.90;PFC@336.30;IRFC@83.34;GRINFRA@876.20;CANFINHOME@795.30;FORCEMOT@17526.00;NLCINDIA@267.40;PARADEEP@160.04;IDBI@90.88;HINDALCO@1015.45;RHIM@371.60
