asof,regime,holdings,lowvol_sleeve,niftybees
2026-07-08,OFF,CASH,CASTROLIND@183.31;MARICO@840.10;NTPC@348.70;ICICIBANK@1380.60;SANOFI@3381.60;APOLLOHOSP@8753.50;BHARTIARTL@1888.10;SUNPHARMA@1888.20;ITC@280.65;SBILIFE@1789.00;ICRA@5223.50;POWERGRID@279.70;TORNTPHARM@4866.40;HDFCBANK@810.30;LUPIN@2459.00;RELIANCE@1275.90;JBCHEPHARM@2435.80;BRITANNIA@5315.50;HINDUNILVR@2135.80;NESTLEIND@1450.50,271.69
2026-07-31,OFF,CASH,CASTROLIND@185.21;MARICO@870.65;SANOFI@3318.00;ICICIBANK@1435.40;APOLLOHOSP@8957.00;NTPC@347.25;SUNPHARMA@1990.50;BHARTIARTL@1972.00;ITC@281.00;SBILIFE@1882.00;BRITANNIA@5416.50;POWERGRID@284.25;LUPIN@2415.00;ABBOTINDIA@27800.00;RELIANCE@1307.80;NESTLEIND@1509.60;PGHH@8594.00;ICRA@4903.50;KOTAKBANK@390.30;TATAPOWER@380.70,277.42
2026-08-31,OFF,CASH,CASTROLIND@184.49;MARICO@820.00;APOLLOHOSP@8898.50;SANOFI@3124.00;NTPC@327.40;SUNPHARMA@1984.80;ICICIBANK@1454.00;BRITANNIA@5250.00;ABBOTINDIA@25850.00;NESTLEIND@1496.50;LUPIN@2188.40;SBILIFE@1740.50;BHARTIARTL@1811.90;ITC@255.50;PGHH@7979.50;RELIANCE@1277.00;POWERGRID@263.55;TATAPOWER@347.00;CIPLA@1409.20;ALKEM@5329.50,274.87
